2024-01-03 18:52:38,432 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:38,432 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch/sketch.templ ...
2024-01-03 18:52:38,432 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:38,440 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:38,440 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:38,440 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch/sketch.props ...
2024-01-03 18:52:38,441 - prism_parser.py - found the following specification: constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:38,441 - jani.py - constructing JANI program...
2024-01-03 18:52:38,526 - jani.py - constructing the quotient...
2024-01-03 18:52:39,269 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:39,557 - sketch.py - sketch parsing OK
2024-01-03 18:52:39,558 - sketch.py - constructed explicit quotient having 1594 states and 186170 actions
2024-01-03 18:52:39,558 - sketch.py - found the following specification constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:39,685 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:39,834 - synthesizer.py - evaluation initiated, design space: 1312200
> Progress 16.984%, elapsed 936 s, estimated 5515 s, iters = {MDP: 222869}
> Progress 17.029%, elapsed 939 s, estimated 5518 s, iters = {MDP: 223456}
> Progress 17.071%, elapsed 942 s, estimated 5522 s, iters = {MDP: 224019}
> Progress 17.114%, elapsed 945 s, estimated 5526 s, iters = {MDP: 224578}
> Progress 17.154%, elapsed 948 s, estimated 5530 s, iters = {MDP: 225097}
> Progress 17.196%, elapsed 951 s, estimated 5534 s, iters = {MDP: 225649}
> Progress 17.238%, elapsed 954 s, estimated 5538 s, iters = {MDP: 226205}
> Progress 17.277%, elapsed 957 s, estimated 5543 s, iters = {MDP: 226718}
> Progress 17.343%, elapsed 960 s, estimated 5539 s, iters = {MDP: 227587}
> Progress 17.415%, elapsed 963 s, estimated 5533 s, iters = {MDP: 228527}
> Progress 17.481%, elapsed 966 s, estimated 5530 s, iters = {MDP: 229398}
> Progress 17.549%, elapsed 969 s, estimated 5526 s, iters = {MDP: 230281}
> Progress 17.611%, elapsed 972 s, estimated 5523 s, iters = {MDP: 231097}
> Progress 17.667%, elapsed 975 s, estimated 5523 s, iters = {MDP: 231831}
> Progress 17.72%, elapsed 978 s, estimated 5523 s, iters = {MDP: 232534}
> Progress 17.778%, elapsed 981 s, estimated 5522 s, iters = {MDP: 233284}
> Progress 17.834%, elapsed 984 s, estimated 5521 s, iters = {MDP: 234026}
> Progress 17.89%, elapsed 987 s, estimated 5521 s, iters = {MDP: 234764}
> Progress 17.946%, elapsed 990 s, estimated 5520 s, iters = {MDP: 235489}
> Progress 18.0%, elapsed 993 s, estimated 5520 s, iters = {MDP: 236208}
> Progress 18.053%, elapsed 996 s, estimated 5521 s, iters = {MDP: 236895}
> Progress 18.104%, elapsed 999 s, estimated 5522 s, iters = {MDP: 237571}
> Progress 18.154%, elapsed 1002 s, estimated 5523 s, iters = {MDP: 238229}
> Progress 18.197%, elapsed 1005 s, estimated 5527 s, iters = {MDP: 238790}
> Progress 18.24%, elapsed 1008 s, estimated 5530 s, iters = {MDP: 239351}
> Progress 18.284%, elapsed 1011 s, estimated 5533 s, iters = {MDP: 239927}
> Progress 18.328%, elapsed 1014 s, estimated 5536 s, iters = {MDP: 240505}
> Progress 18.372%, elapsed 1017 s, estimated 5539 s, iters = {MDP: 241091}
> Progress 18.414%, elapsed 1020 s, estimated 5543 s, iters = {MDP: 241632}
> Progress 18.457%, elapsed 1023 s, estimated 5547 s, iters = {MDP: 242195}
> Progress 18.497%, elapsed 1026 s, estimated 5551 s, iters = {MDP: 242724}
> Progress 18.55%, elapsed 1029 s, estimated 5551 s, iters = {MDP: 243423}
> Progress 18.621%, elapsed 1032 s, estimated 5546 s, iters = {MDP: 244346}
> Progress 18.688%, elapsed 1035 s, estimated 5542 s, iters = {MDP: 245227}
> Progress 18.747%, elapsed 1038 s, estimated 5541 s, iters = {MDP: 246011}
> Progress 18.81%, elapsed 1041 s, estimated 5538 s, iters = {MDP: 246832}
> Progress 18.874%, elapsed 1044 s, estimated 5535 s, iters = {MDP: 247667}
> Progress 18.934%, elapsed 1047 s, estimated 5534 s, iters = {MDP: 248455}
> Progress 18.992%, elapsed 1050 s, estimated 5532 s, iters = {MDP: 249224}
> Progress 19.05%, elapsed 1053 s, estimated 5531 s, iters = {MDP: 249978}
> Progress 19.105%, elapsed 1056 s, estimated 5531 s, iters = {MDP: 250700}
> Progress 19.159%, elapsed 1059 s, estimated 5531 s, iters = {MDP: 251414}
> Progress 19.212%, elapsed 1062 s, estimated 5532 s, iters = {MDP: 252108}
> Progress 19.262%, elapsed 1065 s, estimated 5533 s, iters = {MDP: 252758}
> Progress 19.307%, elapsed 1068 s, estimated 5536 s, iters = {MDP: 253352}
> Progress 19.355%, elapsed 1071 s, estimated 5537 s, iters = {MDP: 253983}
> Progress 19.403%, elapsed 1074 s, estimated 5539 s, iters = {MDP: 254615}
> Progress 19.447%, elapsed 1077 s, estimated 5542 s, iters = {MDP: 255191}
> Progress 19.492%, elapsed 1080 s, estimated 5545 s, iters = {MDP: 255776}
> Progress 19.533%, elapsed 1083 s, estimated 5548 s, iters = {MDP: 256318}
> Progress 19.573%, elapsed 1086 s, estimated 5552 s, iters = {MDP: 256849}
> Progress 19.613%, elapsed 1089 s, estimated 5556 s, iters = {MDP: 257373}
> Progress 19.653%, elapsed 1092 s, estimated 5560 s, iters = {MDP: 257894}
> Progress 19.692%, elapsed 1095 s, estimated 5565 s, iters = {MDP: 258404}
> Progress 19.728%, elapsed 1098 s, estimated 5570 s, iters = {MDP: 258872}
> Progress 19.776%, elapsed 1101 s, estimated 5571 s, iters = {MDP: 259504}
> Progress 19.839%, elapsed 1104 s, estimated 5569 s, iters = {MDP: 260337}
> Progress 19.907%, elapsed 1107 s, estimated 5565 s, iters = {MDP: 261233}
> Progress 19.973%, elapsed 1110 s, estimated 5561 s, iters = {MDP: 262092}
> Progress 20.037%, elapsed 1113 s, estimated 5559 s, iters = {MDP: 262927}
> Progress 20.096%, elapsed 1116 s, estimated 5557 s, iters = {MDP: 263706}
> Progress 20.155%, elapsed 1119 s, estimated 5556 s, iters = {MDP: 264475}
> Progress 20.212%, elapsed 1122 s, estimated 5555 s, iters = {MDP: 265224}
> Progress 20.264%, elapsed 1125 s, estimated 5556 s, iters = {MDP: 265910}
> Progress 20.314%, elapsed 1128 s, estimated 5557 s, iters = {MDP: 266573}
> Progress 20.369%, elapsed 1131 s, estimated 5556 s, iters = {MDP: 267294}
> Progress 20.422%, elapsed 1134 s, estimated 5557 s, iters = {MDP: 267984}
> Progress 20.474%, elapsed 1137 s, estimated 5557 s, iters = {MDP: 268672}
> Progress 20.526%, elapsed 1140 s, estimated 5558 s, iters = {MDP: 269351}
> Progress 20.574%, elapsed 1143 s, estimated 5560 s, iters = {MDP: 269978}
> Progress 20.623%, elapsed 1146 s, estimated 5561 s, iters = {MDP: 270629}
> Progress 20.671%, elapsed 1149 s, estimated 5562 s, iters = {MDP: 271253}
> Progress 20.718%, elapsed 1152 s, estimated 5564 s, iters = {MDP: 271865}
> Progress 20.76%, elapsed 1155 s, estimated 5568 s, iters = {MDP: 272420}
> Progress 20.801%, elapsed 1158 s, estimated 5571 s, iters = {MDP: 272958}
> Progress 20.844%, elapsed 1161 s, estimated 5574 s, iters = {MDP: 273527}
> Progress 20.886%, elapsed 1164 s, estimated 5577 s, iters = {MDP: 274079}
> Progress 20.927%, elapsed 1167 s, estimated 5580 s, iters = {MDP: 274616}
> Progress 20.966%, elapsed 1170 s, estimated 5584 s, iters = {MDP: 275126}
> Progress 21.027%, elapsed 1173 s, estimated 5583 s, iters = {MDP: 275918}
> Progress 21.105%, elapsed 1176 s, estimated 5576 s, iters = {MDP: 276951}
> Progress 21.181%, elapsed 1179 s, estimated 5570 s, iters = {MDP: 277940}
> Progress 21.254%, elapsed 1182 s, estimated 5565 s, iters = {MDP: 278897}
> Progress 21.321%, elapsed 1185 s, estimated 5562 s, iters = {MDP: 279788}
> Progress 21.388%, elapsed 1188 s, estimated 5558 s, iters = {MDP: 280664}
> Progress 21.443%, elapsed 1191 s, estimated 5558 s, iters = {MDP: 281378}
> Progress 21.497%, elapsed 1194 s, estimated 5558 s, iters = {MDP: 282089}
> Progress 21.555%, elapsed 1197 s, estimated 5557 s, iters = {MDP: 282855}
> Progress 21.615%, elapsed 1200 s, estimated 5556 s, iters = {MDP: 283640}
> Progress 21.673%, elapsed 1203 s, estimated 5555 s, iters = {MDP: 284400}
> Progress 21.731%, elapsed 1206 s, estimated 5554 s, iters = {MDP: 285157}
> Progress 21.776%, elapsed 1209 s, estimated 5556 s, iters = {MDP: 285756}
> Progress 21.822%, elapsed 1212 s, estimated 5558 s, iters = {MDP: 286354}
> Progress 21.867%, elapsed 1215 s, estimated 5560 s, iters = {MDP: 286945}
> Progress 21.911%, elapsed 1218 s, estimated 5563 s, iters = {MDP: 287524}
> Progress 21.955%, elapsed 1221 s, estimated 5565 s, iters = {MDP: 288105}
> Progress 22.0%, elapsed 1224 s, estimated 5568 s, iters = {MDP: 288691}
> Progress 22.045%, elapsed 1227 s, estimated 5570 s, iters = {MDP: 289283}
> Progress 22.089%, elapsed 1231 s, estimated 5572 s, iters = {MDP: 289860}
> Progress 22.131%, elapsed 1234 s, estimated 5575 s, iters = {MDP: 290407}
> Progress 22.173%, elapsed 1237 s, estimated 5578 s, iters = {MDP: 290967}
> Progress 22.211%, elapsed 1240 s, estimated 5582 s, iters = {MDP: 291458}
> Progress 22.272%, elapsed 1243 s, estimated 5581 s, iters = {MDP: 292256}
> Progress 22.339%, elapsed 1246 s, estimated 5577 s, iters = {MDP: 293142}
> Progress 22.399%, elapsed 1249 s, estimated 5576 s, iters = {MDP: 293929}
> Progress 22.466%, elapsed 1252 s, estimated 5572 s, iters = {MDP: 294801}
> Progress 22.526%, elapsed 1255 s, estimated 5571 s, iters = {MDP: 295600}
> Progress 22.588%, elapsed 1258 s, estimated 5569 s, iters = {MDP: 296412}
> Progress 22.645%, elapsed 1261 s, estimated 5568 s, iters = {MDP: 297160}
> Progress 22.703%, elapsed 1264 s, estimated 5567 s, iters = {MDP: 297915}
> Progress 22.757%, elapsed 1267 s, estimated 5567 s, iters = {MDP: 298629}
> Progress 22.811%, elapsed 1270 s, estimated 5567 s, iters = {MDP: 299328}
> Progress 22.865%, elapsed 1273 s, estimated 5567 s, iters = {MDP: 300036}
> Progress 22.912%, elapsed 1276 s, estimated 5569 s, iters = {MDP: 300665}
> Progress 22.96%, elapsed 1279 s, estimated 5570 s, iters = {MDP: 301293}
> Progress 23.008%, elapsed 1282 s, estimated 5571 s, iters = {MDP: 301923}
> Progress 23.057%, elapsed 1285 s, estimated 5573 s, iters = {MDP: 302564}
> Progress 23.105%, elapsed 1288 s, estimated 5574 s, iters = {MDP: 303185}
> Progress 23.149%, elapsed 1291 s, estimated 5577 s, iters = {MDP: 303770}
> Progress 23.194%, elapsed 1294 s, estimated 5579 s, iters = {MDP: 304354}
> Progress 23.236%, elapsed 1297 s, estimated 5582 s, iters = {MDP: 304910}
> Progress 23.28%, elapsed 1300 s, estimated 5584 s, iters = {MDP: 305485}
> Progress 23.322%, elapsed 1303 s, estimated 5587 s, iters = {MDP: 306042}
> Progress 23.361%, elapsed 1306 s, estimated 5590 s, iters = {MDP: 306548}
> Progress 23.399%, elapsed 1309 s, estimated 5594 s, iters = {MDP: 307045}
> Progress 23.437%, elapsed 1312 s, estimated 5598 s, iters = {MDP: 307544}
> Progress 23.49%, elapsed 1315 s, estimated 5598 s, iters = {MDP: 308245}
> Progress 23.559%, elapsed 1318 s, estimated 5594 s, iters = {MDP: 309155}
> Progress 23.627%, elapsed 1321 s, estimated 5591 s, iters = {MDP: 310037}
> Progress 23.692%, elapsed 1324 s, estimated 5588 s, iters = {MDP: 310896}
> Progress 23.752%, elapsed 1327 s, estimated 5587 s, iters = {MDP: 311680}
> Progress 23.811%, elapsed 1330 s, estimated 5585 s, iters = {MDP: 312458}
> Progress 23.869%, elapsed 1333 s, estimated 5584 s, iters = {MDP: 313219}
> Progress 23.922%, elapsed 1336 s, estimated 5585 s, iters = {MDP: 313907}
> Progress 23.972%, elapsed 1339 s, estimated 5586 s, iters = {MDP: 314563}
> Progress 24.025%, elapsed 1342 s, estimated 5586 s, iters = {MDP: 315262}
> Progress 24.078%, elapsed 1345 s, estimated 5586 s, iters = {MDP: 315960}
> Progress 24.129%, elapsed 1348 s, estimated 5586 s, iters = {MDP: 316626}
> Progress 24.181%, elapsed 1351 s, estimated 5587 s, iters = {MDP: 317306}
> Progress 24.231%, elapsed 1354 s, estimated 5588 s, iters = {MDP: 317964}
> Progress 24.279%, elapsed 1357 s, estimated 5589 s, iters = {MDP: 318594}
> Progress 24.327%, elapsed 1360 s, estimated 5590 s, iters = {MDP: 319225}
> Progress 24.372%, elapsed 1363 s, estimated 5592 s, iters = {MDP: 319818}
> Progress 24.415%, elapsed 1366 s, estimated 5595 s, iters = {MDP: 320382}
> Progress 24.455%, elapsed 1369 s, estimated 5598 s, iters = {MDP: 320900}
> Progress 24.499%, elapsed 1372 s, estimated 5600 s, iters = {MDP: 321480}
> Progress 24.541%, elapsed 1375 s, estimated 5603 s, iters = {MDP: 322035}
> Progress 24.581%, elapsed 1378 s, estimated 5606 s, iters = {MDP: 322556}
> Progress 24.622%, elapsed 1381 s, estimated 5609 s, iters = {MDP: 323094}
> Progress 24.661%, elapsed 1384 s, estimated 5612 s, iters = {MDP: 323603}
> Progress 24.702%, elapsed 1387 s, estimated 5615 s, iters = {MDP: 324146}
> Progress 24.771%, elapsed 1390 s, estimated 5611 s, iters = {MDP: 325050}
> Progress 24.841%, elapsed 1393 s, estimated 5608 s, iters = {MDP: 325973}
> Progress 24.9%, elapsed 1396 s, estimated 5606 s, iters = {MDP: 326742}
> Progress 24.959%, elapsed 1399 s, estimated 5605 s, iters = {MDP: 327513}
> Progress 25.018%, elapsed 1402 s, estimated 5604 s, iters = {MDP: 328297}
> Progress 25.076%, elapsed 1405 s, estimated 5603 s, iters = {MDP: 329059}
> Progress 25.133%, elapsed 1408 s, estimated 5602 s, iters = {MDP: 329806}
> Progress 25.19%, elapsed 1411 s, estimated 5601 s, iters = {MDP: 330556}
> Progress 25.24%, elapsed 1414 s, estimated 5602 s, iters = {MDP: 331211}
> Progress 25.292%, elapsed 1417 s, estimated 5603 s, iters = {MDP: 331888}
> Progress 25.343%, elapsed 1420 s, estimated 5603 s, iters = {MDP: 332555}
> Progress 25.394%, elapsed 1423 s, estimated 5604 s, iters = {MDP: 333231}
> Progress 25.442%, elapsed 1426 s, estimated 5605 s, iters = {MDP: 333855}
> Progress 25.487%, elapsed 1429 s, estimated 5607 s, iters = {MDP: 334447}
> Progress 25.537%, elapsed 1432 s, estimated 5608 s, iters = {MDP: 335104}
> Progress 25.584%, elapsed 1435 s, estimated 5609 s, iters = {MDP: 335727}
> Progress 25.63%, elapsed 1438 s, estimated 5611 s, iters = {MDP: 336319}
> Progress 25.672%, elapsed 1441 s, estimated 5613 s, iters = {MDP: 336871}
> Progress 25.717%, elapsed 1444 s, estimated 5615 s, iters = {MDP: 337461}
> Progress 25.764%, elapsed 1447 s, estimated 5616 s, iters = {MDP: 338086}
> Progress 25.809%, elapsed 1450 s, estimated 5618 s, iters = {MDP: 338678}
> Progress 25.852%, elapsed 1453 s, estimated 5621 s, iters = {MDP: 339231}
> Progress 25.894%, elapsed 1456 s, estimated 5623 s, iters = {MDP: 339786}
> Progress 25.94%, elapsed 1459 s, estimated 5625 s, iters = {MDP: 340391}
> Progress 26.016%, elapsed 1462 s, estimated 5620 s, iters = {MDP: 341383}
> Progress 26.087%, elapsed 1465 s, estimated 5617 s, iters = {MDP: 342321}
> Progress 26.161%, elapsed 1468 s, estimated 5612 s, iters = {MDP: 343295}
> Progress 26.224%, elapsed 1471 s, estimated 5610 s, iters = {MDP: 344116}
> Progress 26.289%, elapsed 1474 s, estimated 5608 s, iters = {MDP: 344975}
> Progress 26.354%, elapsed 1477 s, estimated 5605 s, iters = {MDP: 345819}
> Progress 26.416%, elapsed 1480 s, estimated 5603 s, iters = {MDP: 346639}
> Progress 26.473%, elapsed 1483 s, estimated 5603 s, iters = {MDP: 347387}
> Progress 26.525%, elapsed 1486 s, estimated 5603 s, iters = {MDP: 348065}
> Progress 26.573%, elapsed 1489 s, estimated 5604 s, iters = {MDP: 348698}
> Progress 26.623%, elapsed 1492 s, estimated 5605 s, iters = {MDP: 349352}
> Progress 26.674%, elapsed 1495 s, estimated 5605 s, iters = {MDP: 350027}
> Progress 26.723%, elapsed 1498 s, estimated 5606 s, iters = {MDP: 350666}
> Progress 26.771%, elapsed 1501 s, estimated 5608 s, iters = {MDP: 351299}
> Progress 26.816%, elapsed 1504 s, estimated 5609 s, iters = {MDP: 351891}
> Progress 26.862%, elapsed 1507 s, estimated 5611 s, iters = {MDP: 352490}
> Progress 26.904%, elapsed 1510 s, estimated 5613 s, iters = {MDP: 353045}
> Progress 26.95%, elapsed 1513 s, estimated 5615 s, iters = {MDP: 353650}
> Progress 26.995%, elapsed 1516 s, estimated 5617 s, iters = {MDP: 354240}
> Progress 27.037%, elapsed 1519 s, estimated 5619 s, iters = {MDP: 354785}
> Progress 27.08%, elapsed 1522 s, estimated 5621 s, iters = {MDP: 355347}
> Progress 27.123%, elapsed 1525 s, estimated 5623 s, iters = {MDP: 355913}
> Progress 27.162%, elapsed 1528 s, estimated 5626 s, iters = {MDP: 356425}
> Progress 27.237%, elapsed 1531 s, estimated 5622 s, iters = {MDP: 357408}
> Progress 27.312%, elapsed 1534 s, estimated 5618 s, iters = {MDP: 358395}
> Progress 27.384%, elapsed 1537 s, estimated 5614 s, iters = {MDP: 359346}
> Progress 27.451%, elapsed 1540 s, estimated 5611 s, iters = {MDP: 360219}
> Progress 27.512%, elapsed 1543 s, estimated 5609 s, iters = {MDP: 361026}
> Progress 27.572%, elapsed 1546 s, estimated 5608 s, iters = {MDP: 361805}
> Progress 27.63%, elapsed 1549 s, estimated 5607 s, iters = {MDP: 362563}
> Progress 27.69%, elapsed 1552 s, estimated 5606 s, iters = {MDP: 363352}
> Progress 27.748%, elapsed 1555 s, estimated 5605 s, iters = {MDP: 364113}
> Progress 27.804%, elapsed 1558 s, estimated 5604 s, iters = {MDP: 364858}
> Progress 27.861%, elapsed 1561 s, estimated 5604 s, iters = {MDP: 365602}
> Progress 27.921%, elapsed 1564 s, estimated 5603 s, iters = {MDP: 366382}
> Progress 27.977%, elapsed 1567 s, estimated 5602 s, iters = {MDP: 367117}
> Progress 28.032%, elapsed 1570 s, estimated 5602 s, iters = {MDP: 367838}
> Progress 28.086%, elapsed 1573 s, estimated 5602 s, iters = {MDP: 368557}
> Progress 28.135%, elapsed 1576 s, estimated 5603 s, iters = {MDP: 369196}
> Progress 28.184%, elapsed 1579 s, estimated 5603 s, iters = {MDP: 369836}
> Progress 28.236%, elapsed 1582 s, estimated 5604 s, iters = {MDP: 370522}
> Progress 28.284%, elapsed 1585 s, estimated 5605 s, iters = {MDP: 371151}
> Progress 28.332%, elapsed 1588 s, estimated 5606 s, iters = {MDP: 371776}
> Progress 28.377%, elapsed 1591 s, estimated 5608 s, iters = {MDP: 372373}
> Progress 28.446%, elapsed 1594 s, estimated 5605 s, iters = {MDP: 373270}
> Progress 28.532%, elapsed 1597 s, estimated 5598 s, iters = {MDP: 374405}
> Progress 28.612%, elapsed 1600 s, estimated 5593 s, iters = {MDP: 375451}
> Progress 28.689%, elapsed 1603 s, estimated 5589 s, iters = {MDP: 376460}
> Progress 28.759%, elapsed 1606 s, estimated 5585 s, iters = {MDP: 377377}
> Progress 28.824%, elapsed 1609 s, estimated 5583 s, iters = {MDP: 378242}
> Progress 28.894%, elapsed 1612 s, estimated 5580 s, iters = {MDP: 379156}
> Progress 28.958%, elapsed 1615 s, estimated 5578 s, iters = {MDP: 379995}
> Progress 29.021%, elapsed 1618 s, estimated 5576 s, iters = {MDP: 380826}
> Progress 29.084%, elapsed 1621 s, estimated 5575 s, iters = {MDP: 381643}
> Progress 29.145%, elapsed 1624 s, estimated 5573 s, iters = {MDP: 382447}
> Progress 29.204%, elapsed 1627 s, estimated 5572 s, iters = {MDP: 383221}
> Progress 29.262%, elapsed 1630 s, estimated 5571 s, iters = {MDP: 383977}
> Progress 29.317%, elapsed 1633 s, estimated 5571 s, iters = {MDP: 384710}
> Progress 29.369%, elapsed 1636 s, estimated 5571 s, iters = {MDP: 385390}
> Progress 29.418%, elapsed 1639 s, estimated 5572 s, iters = {MDP: 386033}
> Progress 29.47%, elapsed 1642 s, estimated 5573 s, iters = {MDP: 386717}
> Progress 29.519%, elapsed 1645 s, estimated 5574 s, iters = {MDP: 387353}
> Progress 29.568%, elapsed 1648 s, estimated 5575 s, iters = {MDP: 388000}
> Progress 29.614%, elapsed 1651 s, estimated 5576 s, iters = {MDP: 388605}
> Progress 29.687%, elapsed 1654 s, estimated 5573 s, iters = {MDP: 389558}
> Progress 29.771%, elapsed 1657 s, estimated 5567 s, iters = {MDP: 390668}
> Progress 29.852%, elapsed 1660 s, estimated 5562 s, iters = {MDP: 391723}
> Progress 29.925%, elapsed 1663 s, estimated 5558 s, iters = {MDP: 392681}
> Progress 29.995%, elapsed 1666 s, estimated 5555 s, iters = {MDP: 393603}
> Progress 30.061%, elapsed 1669 s, estimated 5553 s, iters = {MDP: 394470}
> Progress 30.131%, elapsed 1672 s, estimated 5550 s, iters = {MDP: 395383}
> Progress 30.195%, elapsed 1675 s, estimated 5548 s, iters = {MDP: 396221}
> Progress 30.258%, elapsed 1678 s, estimated 5547 s, iters = {MDP: 397053}
> Progress 30.319%, elapsed 1681 s, estimated 5546 s, iters = {MDP: 397851}
> Progress 30.379%, elapsed 1684 s, estimated 5544 s, iters = {MDP: 398645}
> Progress 30.435%, elapsed 1687 s, estimated 5544 s, iters = {MDP: 399370}
> Progress 30.492%, elapsed 1690 s, estimated 5543 s, iters = {MDP: 400130}
> Progress 30.548%, elapsed 1693 s, estimated 5543 s, iters = {MDP: 400854}
> Progress 30.598%, elapsed 1696 s, estimated 5544 s, iters = {MDP: 401518}
> Progress 30.646%, elapsed 1699 s, estimated 5545 s, iters = {MDP: 402150}
> Progress 30.696%, elapsed 1702 s, estimated 5546 s, iters = {MDP: 402800}
> Progress 30.743%, elapsed 1705 s, estimated 5547 s, iters = {MDP: 403419}
> Progress 30.791%, elapsed 1708 s, estimated 5548 s, iters = {MDP: 404044}
> Progress 30.836%, elapsed 1711 s, estimated 5550 s, iters = {MDP: 404634}
> Progress 30.891%, elapsed 1714 s, estimated 5550 s, iters = {MDP: 405356}
> Progress 30.977%, elapsed 1717 s, estimated 5544 s, iters = {MDP: 406485}
> Progress 31.06%, elapsed 1720 s, estimated 5539 s, iters = {MDP: 407574}
> Progress 31.138%, elapsed 1723 s, estimated 5535 s, iters = {MDP: 408605}
> Progress 31.209%, elapsed 1726 s, estimated 5532 s, iters = {MDP: 409537}
> Progress 31.278%, elapsed 1729 s, estimated 5529 s, iters = {MDP: 410438}
> Progress 31.349%, elapsed 1732 s, estimated 5526 s, iters = {MDP: 411375}
> Progress 31.417%, elapsed 1735 s, estimated 5524 s, iters = {MDP: 412257}
> Progress 31.483%, elapsed 1738 s, estimated 5522 s, iters = {MDP: 413128}
> Progress 31.545%, elapsed 1741 s, estimated 5520 s, iters = {MDP: 413941}
> Progress 31.608%, elapsed 1744 s, estimated 5519 s, iters = {MDP: 414762}
> Progress 31.666%, elapsed 1747 s, estimated 5518 s, iters = {MDP: 415535}
> Progress 31.726%, elapsed 1750 s, estimated 5517 s, iters = {MDP: 416310}
> Progress 31.782%, elapsed 1753 s, estimated 5517 s, iters = {MDP: 417048}
> Progress 31.833%, elapsed 1756 s, estimated 5517 s, iters = {MDP: 417722}
> Progress 31.883%, elapsed 1759 s, estimated 5518 s, iters = {MDP: 418376}
> Progress 31.937%, elapsed 1762 s, estimated 5518 s, iters = {MDP: 419081}
> Progress 31.987%, elapsed 1765 s, estimated 5519 s, iters = {MDP: 419741}
> Progress 32.038%, elapsed 1768 s, estimated 5520 s, iters = {MDP: 420409}
> Progress 32.084%, elapsed 1771 s, estimated 5521 s, iters = {MDP: 421016}
> Progress 32.16%, elapsed 1774 s, estimated 5517 s, iters = {MDP: 422014}
> Progress 32.248%, elapsed 1777 s, estimated 5512 s, iters = {MDP: 423171}
> Progress 32.331%, elapsed 1780 s, estimated 5507 s, iters = {MDP: 424249}
> Progress 32.407%, elapsed 1783 s, estimated 5503 s, iters = {MDP: 425256}
> Progress 32.477%, elapsed 1786 s, estimated 5500 s, iters = {MDP: 426170}
> Progress 32.546%, elapsed 1789 s, estimated 5498 s, iters = {MDP: 427081}
> Progress 32.611%, elapsed 1792 s, estimated 5496 s, iters = {MDP: 427934}
> Progress 32.677%, elapsed 1795 s, estimated 5494 s, iters = {MDP: 428800}
> Progress 32.745%, elapsed 1798 s, estimated 5492 s, iters = {MDP: 429685}
> Progress 32.811%, elapsed 1801 s, estimated 5490 s, iters = {MDP: 430556}
> Progress 32.874%, elapsed 1804 s, estimated 5489 s, iters = {MDP: 431385}
> Progress 32.935%, elapsed 1807 s, estimated 5488 s, iters = {MDP: 432185}
> Progress 32.997%, elapsed 1810 s, estimated 5487 s, iters = {MDP: 432990}
> Progress 33.055%, elapsed 1813 s, estimated 5486 s, iters = {MDP: 433752}
> Progress 33.109%, elapsed 1816 s, estimated 5486 s, iters = {MDP: 434459}
> Progress 33.163%, elapsed 1819 s, estimated 5486 s, iters = {MDP: 435166}
> Progress 33.214%, elapsed 1822 s, estimated 5487 s, iters = {MDP: 435848}
> Progress 33.265%, elapsed 1825 s, estimated 5487 s, iters = {MDP: 436515}
> Progress 33.314%, elapsed 1828 s, estimated 5488 s, iters = {MDP: 437154}
> Progress 33.387%, elapsed 1831 s, estimated 5485 s, iters = {MDP: 438114}
> Progress 33.475%, elapsed 1834 s, estimated 5480 s, iters = {MDP: 439271}
> Progress 33.56%, elapsed 1837 s, estimated 5475 s, iters = {MDP: 440380}
> Progress 33.64%, elapsed 1840 s, estimated 5471 s, iters = {MDP: 441433}
> Progress 33.717%, elapsed 1843 s, estimated 5467 s, iters = {MDP: 442442}
> Progress 33.789%, elapsed 1846 s, estimated 5465 s, iters = {MDP: 443388}
> Progress 33.859%, elapsed 1849 s, estimated 5462 s, iters = {MDP: 444306}
> Progress 33.928%, elapsed 1852 s, estimated 5460 s, iters = {MDP: 445215}
> Progress 33.986%, elapsed 1855 s, estimated 5459 s, iters = {MDP: 445978}
> Progress 34.05%, elapsed 1858 s, estimated 5458 s, iters = {MDP: 446817}
> Progress 34.113%, elapsed 1861 s, estimated 5457 s, iters = {MDP: 447642}
> Progress 34.174%, elapsed 1864 s, estimated 5456 s, iters = {MDP: 448439}
> Progress 34.23%, elapsed 1867 s, estimated 5455 s, iters = {MDP: 449180}
> Progress 34.287%, elapsed 1870 s, estimated 5455 s, iters = {MDP: 449923}
> Progress 34.343%, elapsed 1873 s, estimated 5455 s, iters = {MDP: 450651}
> Progress 34.396%, elapsed 1876 s, estimated 5455 s, iters = {MDP: 451349}
> Progress 34.448%, elapsed 1879 s, estimated 5456 s, iters = {MDP: 452039}
> Progress 34.5%, elapsed 1882 s, estimated 5456 s, iters = {MDP: 452715}
> Progress 34.551%, elapsed 1885 s, estimated 5457 s, iters = {MDP: 453387}
> Progress 34.63%, elapsed 1888 s, estimated 5453 s, iters = {MDP: 454418}
> Progress 34.722%, elapsed 1891 s, estimated 5447 s, iters = {MDP: 455625}
